RAMO;NPOLIZA;DEPEND;CLAVCOB;TIPOADIC;CLAVADIC;FINICOB;FTERMCOV;EDAD;SUMAASG;PMAANUAL;EXTRAPRIMA;IVAANUAL
300;00691400;00;03173;00;00000;2011-09-01;2012-09-01;051;0000025000;        5,1497;        0,0000;        0,9784
300;00691401;00;03173;00;00000;2012-09-01;2013-09-01;052;0000025000;        5,1497;        0,0000;        0,9784
300;00691402;00;03173;00;00000;2013-09-01;2014-09-01;053;0000025000;        5,1497;        0,0000;        0,9784
300;00691403;00;03173;00;00000;2014-09-01;2015-09-01;054;0000025000;        5,1497;        0,0000;        0,9784
300;00691404;00;03173;00;00000;2015-09-01;2016-09-01;055;0000025000;        5,5074;        0,0000;        1,0464
300;00691405;00;03173;00;00000;2016-09-01;2017-09-01;056;0000025000;        5,5074;        0,0000;        1,0464
300;00691406;00;03173;00;00000;2017-09-01;2018-09-01;057;0000025000;        5,5074;        0,0000;        1,0464
300;00691407;00;03173;00;00000;2018-09-01;2019-09-01;058;0000025000;        5,5074;        0,0000;        1,0464
300;00691408;00;03173;00;00000;2019-09-01;2020-09-01;059;0000025000;        5,5074;        0,0000;        1,0464
300;00691409;00;03173;00;00000;2020-09-01;2021-09-01;060;0000025000;        5,8735;        0,0000;        1,1160
300;00691410;00;03173;00;00000;2021-09-01;2022-09-01;061;0000025000;        5,8735;        0,0000;        1,1160
300;00691411;00;03173;00;00000;2022-09-01;2023-09-01;062;0000025000;        5,8735;        0,0000;        1,1160
300;00691412;00;03173;00;00000;2023-09-01;2024-09-01;063;0000025000;        5,8735;        0,0000;        1,1160
300;00691413;00;03173;00;00000;2024-09-01;2025-09-01;064;0000025000;        5,8735;        0,0000;        1,1160
300;00692300;00;03173;00;00000;2011-08-01;2012-08-01;030;0000025000;        3,5274;        0,0000;        0,6702
300;00692301;00;03173;00;00000;2012-08-01;2013-08-01;031;0000025000;        3,5274;        0,0000;        0,6702
300;00692302;00;03173;00;00000;2013-08-01;2014-08-01;032;0000025000;        3,5274;        0,0000;        0,6702
300;00692303;00;03173;00;00000;2014-08-01;2015-08-01;033;0000025000;        3,5274;        0,0000;        0,6702
300;00692304;00;03173;00;00000;2015-08-01;2016-08-01;034;0000025000;        3,5274;        0,0000;        0,6702
300;00692305;00;03173;00;00000;2016-08-01;2017-08-01;035;0000025000;        3,7271;        0,0000;        0,7081
300;00692306;00;03173;00;00000;2017-08-01;2018-08-01;036;0000025000;        3,7271;        0,0000;        0,7081
300;00692307;00;03173;00;00000;2018-08-01;2019-08-01;037;0000025000;        3,7271;        0,0000;        0,7081
300;00692308;00;03173;00;00000;2019-08-01;2020-08-01;038;0000025000;        3,7271;        0,0000;        0,7081
300;00692309;00;03173;00;00000;2020-08-01;2021-08-01;039;0000025000;        3,7271;        0,0000;        0,7081
300;00692310;00;03173;00;00000;2021-08-01;2022-08-01;040;0000025000;        3,9933;        0,0000;        0,7587
300;00692311;00;03173;00;00000;2022-08-01;2023-08-01;041;0000025000;        3,9933;        0,0000;        0,7587
300;00692312;00;03173;00;00000;2023-08-01;2024-08-01;042;0000025000;        3,9933;        0,0000;        0,7587
300;00692313;00;03173;00;00000;2024-08-01;2025-08-01;043;0000025000;        3,9933;        0,0000;        0,7587
300;00693700;00;03173;00;00000;2011-08-01;2012-08-01;029;0000025000;        3,1198;        0,0000;        0,5928
300;00693701;00;03173;00;00000;2012-08-01;2013-08-01;030;0000025000;        3,5274;        0,0000;        0,6702
300;00693702;00;03173;00;00000;2013-08-01;2014-08-01;031;0000025000;        3,5274;        0,0000;        0,6702
300;00693703;00;03173;00;00000;2014-08-01;2015-08-01;032;0000025000;        3,5274;        0,0000;        0,6702
300;00693704;00;03173;00;00000;2015-08-01;2016-08-01;033;0000025000;        3,5274;        0,0000;        0,6702
300;00693705;00;03173;00;00000;2016-08-01;2017-08-01;034;0000025000;        3,5274;        0,0000;        0,6702
300;00693706;00;03173;00;00000;2017-08-01;2018-08-01;035;0000025000;        3,7271;        0,0000;        0,7081
300;00693707;00;03173;00;00000;2018-08-01;2019-08-01;036;0000025000;        3,7271;        0,0000;        0,7081
300;00693708;00;03173;00;00000;2019-08-01;2020-08-01;037;0000025000;        3,7271;        0,0000;        0,7081
300;00693709;00;03173;00;00000;2020-08-01;2021-08-01;038;0000025000;        3,7271;        0,0000;        0,7081
300;00693710;00;03173;00;00000;2021-08-01;2022-08-01;039;0000025000;        3,7271;        0,0000;        0,7081
300;00693711;00;03173;00;00000;2022-08-01;2023-08-01;040;0000025000;        3,9933;        0,0000;        0,7587
300;00693712;00;03173;00;00000;2023-08-01;2024-08-01;041;0000025000;        3,9933;        0,0000;        0,7587
300;00693713;00;03173;00;00000;2024-08-01;2025-08-01;042;0000025000;        3,9933;        0,0000;        0,7587
300;00696800;00;03173;00;00000;2011-08-01;2012-08-01;058;0000025000;        5,5074;        0,0000;        1,0464
300;00696801;00;03173;00;00000;2012-08-01;2013-08-01;059;0000025000;        5,5074;        0,0000;        1,0464
300;00696802;00;03173;00;00000;2013-08-01;2014-08-01;060;0000025000;        5,8735;        0,0000;        1,1160
300;00696803;00;03173;00;00000;2014-08-01;2015-08-01;061;0000025000;        5,8735;        0,0000;        1,1160
300;00696804;00;03173;00;00000;2015-08-01;2016-08-01;062;0000025000;        5,8735;        0,0000;        1,1160
300;00696805;00;03173;00;00000;2016-08-01;2017-08-01;063;0000025000;        5,8735;        0,0000;        1,1160
300;00696806;00;03173;00;00000;2017-08-01;2018-08-01;064;0000025000;        5,8735;        0,0000;        1,1160
300;00696807;00;03173;00;00000;2018-08-01;2019-08-01;065;0000025000;        6,3976;        0,0000;        1,2155
300;00696808;00;03173;00;00000;2019-08-01;2020-08-01;066;0000025000;        6,3976;        0,0000;        1,2155
300;00696809;00;03173;00;00000;2020-08-01;2021-08-01;067;0000025000;        6,3976;        0,0000;        1,2155
300;00696810;00;03173;00;00000;2021-08-01;2022-08-01;068;0000025000;        6,3976;        0,0000;        1,2155
300;00696811;00;03173;00;00000;2022-08-01;2023-08-01;069;0000025000;        6,3976;        0,0000;        1,2155
300;00696812;00;03173;00;00000;2023-08-01;2024-08-01;070;0000025000;        7,3211;        0,0000;        1,3910
300;00696813;00;03173;00;00000;2024-08-01;2025-08-01;071;0000025000;        7,3211;        0,0000;        1,3910
300;00697800;00;03173;00;00000;2011-09-01;2012-09-01;038;0000025000;        3,7271;        0,0000;        0,7081
300;00697801;00;03173;00;00000;2012-09-01;2013-09-01;039;0000025000;        3,7271;        0,0000;        0,7081
300;00697802;00;03173;00;00000;2013-09-01;2014-09-01;040;0000025000;        3,9933;        0,0000;        0,7587
300;00697803;00;03173;00;00000;2014-09-01;2015-09-01;041;0000025000;        3,9933;        0,0000;        0,7587
300;00697804;00;03173;00;00000;2015-09-01;2016-09-01;042;0000025000;        3,9933;        0,0000;        0,7587
300;00697805;00;03173;00;00000;2016-09-01;2017-09-01;043;0000025000;        3,9933;        0,0000;        0,7587
300;00697806;00;03173;00;00000;2017-09-01;2018-09-01;044;0000025000;        3,9933;        0,0000;        0,7587
300;00697807;00;03173;00;00000;2018-09-01;2019-09-01;045;0000025000;        4,8585;        0,0000;        0,9231
